yugipedia_page_id,konami_id,password,name,text,pendulum,comments
,12719,,"마계대본 ""화룡의 거처""","""마계대본 ""화룡의 거처""""의 ②의 효과는 1턴에 1번밖에 사용할 수 없다. ①: 자신 필드의 ""마계극단"" 몬스터 1장을 대상으로 하고 발동할 수 있다. 이 턴에, 그 몬스터가 전투로 상대 몬스터를 파괴했을 경우, 상대는 엑스트라 덱에서 몬스터 3장을 고르고 제외한다. ②: 자신의 엑스트라 덱에 앞면 표시의 ""마계극단"" 펜듈럼 몬스터가 존재하고, 세트된 이 카드가 상대의 효과로 파괴되었을 경우에 발동할 수 있다. 상대의 엑스트라 덱을 확인하고, 그 중의 1장을 골라 제외한다.",,typo or mistranslation
,4029,,사악한 웜 괴물,"자신 턴의 엔드 페이즈시, 앞면 표시로 필드 위에 존재하는 이 카드는 주인의 패로 되돌아간다.",,omitted erratum: http://www.tcgshop.co.kr/upload/goods/c75489_BP2-KR090.jpg
,4904,,변덕스런 재단사,몬스터에 장착되어 있는 장착 카드 1장을 다른 적절한 대상에게 옮긴다.,,omitted erratum: http://www.tcgshop.co.kr/upload/goods/c70136_BP1-KR026.jpg
,4976,,정신 기생체,"뒷면 수비 표시의 이 카드를 상대 몬스터가 공격했을 때, 이 카드는 공격 몬스터의 장착 카드가 된다(데미지 계산은 실행하지 않는다). 상대 턴의 스텐바이 페이즈마다 자신은 장착 몬스터의 공격력 절반의 라이프 포인트를 회복한다.",,omitted erratum: http://www.tcgshop.co.kr/upload/goods/c74924_BP1-KR093.jpg
,5499,,다크 제로이드,"이 몬스터가 일반 소환 / 반전 소환 / 특수 소환에 성공했을 때, 필드 위의 앞면 표시 몬스터 1장을 선택한다. 그 몬스터는 필드 위에 앞면 표시로 존재하는 한, 공격력은 800 포인트 내린다.",,omitted erratum: http://www.tcgshop.co.kr/upload/goods/c02458_HGP1-KR004.jpg
,5896,,암흑 대요새호,"자신 필드 위의 ""어뢰어"" 1장을 제물로 바치는 것으로, 필드 위의 몬스터 1장을 파괴한다. 자신 필드 위의 ""포환 창조개"" 1장을 제물로 바치는 것으로, 필드 위의 마법 / 함정 카드 1장을 파괴한다.",,omitted erratum: https://www.yugioh.co.kr/board/board_info.php?b_category=important&b_no=89
,5897,,포환 창조개,"""바다""가 필드 위에 존재하는 한, 이 카드는 마법의 효과를 받지 않는다.",,omitted erratum: https://www.yugioh.co.kr/board/board_info.php?b_category=important&b_no=89
,7408,,스플릿 데먼 로즈,"이 카드가 전투에 의해서 파괴되어 묘지로 보내졌을 때, 자신 필드 위에 ""데먼 로즈 토큰""(식물족 / 어둠 속성 / 레벨 3 / 공격력 1200 / 수비력 1200)을 2장 특수 소환할 수 있다.",,omitted erratum: https://www.yugioh.co.kr/board/board_info.php?b_category=important&b_no=50
,7923,,리바이벌 기프트,"자신의 묘지에 존재하는 튜너 1장을 선택하고 특수 소환한다. 이 효과로 특수 소환한 몬스터의 효과는 무효화된다. 상대 필드 위에 ""기프트 데몬 토큰""(악마족 / 어둠 속성 / 레벨 3 / 공격력 1500 / 수비력 1500) 2장을 특수 소환한다.",,omitted erratum: https://www.yugioh.co.kr/board/board_info.php?b_category=important&b_no=50
,9324,,사운드 워리어 베이시스,"1턴에 1번, 필드 위에 앞면 표시로 존재하는 ""사운드 워리어""라는 이름이 붙은 몬스터 1장을 선택하고 발동한다. 엔드 페이즈시까지, 선택한 몬스터의 레벨을 패의 매수만큼 올린다. 또한 자신의 묘지에 존재하는 이 카드를 게임에서 제외하는 것으로, 자신 필드 위에 앞면 표시로 존재하는 ""사운드 워리어""라는 이름이 붙은 몬스터 1장의 레벨을 엔드 페이즈시까지 패의 매수만큼 올린다.",,omitted erratum: https://www.yugioh.co.kr/board/board_info.php?b_category=important&b_no=170
